,step,s,e,i,h,r,d,v
151,152,4301,6,2834,40,254,0,2565
152,153,4301,6,2833,41,254,0,2565
153,154,4301,6,2830,44,254,0,2565
154,155,4301,6,2830,44,254,0,2565
155,156,4297,6,2830,44,254,0,2569
156,157,4297,6,2828,46,254,0,2569
157,158,4297,6,2828,46,254,0,2569
158,159,4297,6,2827,47,254,0,2569
159,160,4297,6,2826,48,254,0,2569
160,161,4297,6,2826,48,254,0,2569
161,162,4297,6,2825,49,254,0,2569
162,163,4297,6,2825,49,254,0,2569
163,164,4297,6,2825,49,254,0,2569
164,165,4297,6,2825,49,254,0,2569
165,166,4297,6,2824,50,254,0,2569
166,167,4297,6,2821,53,254,0,2569
167,168,4296,6,2820,54,254,0,2570
168,169,4296,0,2826,54,254,0,2570
169,170,4295,1,2822,57,255,0,2570
170,171,4294,2,2820,59,255,0,2570
171,172,4294,1,2819,60,256,0,2570
172,173,4294,1,2816,62,257,0,2570
173,174,4294,1,2816,62,257,0,2570
174,175,4294,1,2816,62,257,0,2570
175,176,4294,1,2814,64,257,0,2570
176,177,4294,1,2814,64,257,0,2570
177,178,4294,1,2812,65,258,0,2570
178,179,4294,1,2809,68,258,0,2570
179,180,4293,0,2809,68,258,1,2571
180,181,4293,0,2807,70,258,1,2571
181,182,4293,0,2806,71,258,1,2571
182,183,4293,0,2803,74,258,1,2571
183,184,4293,0,2801,76,258,1,2571
184,185,4293,0,2799,78,258,1,2571
185,186,4293,0,2798,78,259,1,2571
186,187,4293,0,2793,81,261,1,2571
187,188,4293,0,2793,81,261,1,2571
188,189,4293,0,2791,81,262,2,2571
189,190,4293,0,2788,82,264,2,2571
190,191,4293,0,2787,82,265,2,2571
191,192,4288,0,2785,84,265,2,2576
192,193,4288,0,2780,88,266,2,2576
193,194,4288,0,2779,89,266,2,2576
194,195,4288,0,2777,90,267,2,2576
195,196,4288,0,2773,92,269,2,2576
196,197,4288,0,2772,92,270,2,2576
197,198,4288,0,2767,94,273,2,2576
198,199,4288,0,2766,94,274,2,2576
199,200,4288,0,2765,94,275,2,2576
200,201,4288,0,2761,97,276,2,2576
201,202,4288,0,2760,97,277,2,2576
202,203,4288,0,2754,100,280,2,2576
203,204,4287,0,2753,101,280,2,2577
204,205,4287,0,2748,101,284,3,2577
205,206,4287,0,2743,101,288,4,2577
206,207,4287,0,2737,103,292,4,2577
207,208,4287,0,2732,103,297,4,2577
208,209,4287,0,2725,104,303,4,2577
209,210,4287,0,2717,106,309,4,2577
210,211,4287,0,2714,106,312,4,2577
211,212,4287,0,2707,107,317,5,2577
212,213,4287,0,2706,105,318,7,2577
213,214,4287,0,2700,106,323,7,2577
214,215,4287,0,2694,109,326,7,2577
215,216,4284,0,2688,111,330,7,2580
216,217,4284,0,2651,108,368,9,2580
217,218,4284,0,2610,107,410,9,2580
218,219,4284,0,2580,104,443,9,2580
219,220,4284,0,2538,103,486,9,2580
220,221,4284,0,2501,104,521,10,2580
221,222,4284,0,2458,106,562,10,2580
